date,avg,min,max
2025-02-15,1.1700599523815775E-4,9.717823559166709E-5,1.8006662139688636E-4
2025-02-16,1.4456939356893134E-4,1.3808269696919653E-4,1.6325292589360038E-4
2025-02-17,2.5827494582518533E-4,2.175557007396111E-4,3.4464179771058473E-4
2025-02-18,1.8143762862013647E-4,1.2827440514204448E-4,2.550638164392525E-4
2025-02-19,2.759939517195423E-4,1.240349665748302E-4,3.896743387525591E-4
2025-02-20,1.920572336619771E-4,1.1873852781695648E-4,2.4450261844348665E-4
2025-02-21,3.724512071168463E-4,1.9609103430364306E-4,4.523249353546327E-4
2025-02-22,2.1384057084686625E-4,1.5427558537320937E-4,2.6197804254505857E-4
2025-02-23,1.5477588352710587E-4,1.1021395039265544E-4,2.4393104831714626E-4
2025-02-24,1.0113884683303326E-4,6.687134737146053E-5,1.298595307163328E-4
2025-02-25,1.3691371951860099E-4,1.0913331789184063E-4,1.587279372912646E-4
2025-02-26,1.9862352423572876E-4,1.5825708284801905E-4,2.835564664568109E-4
2025-02-27,3.587088192379768E-4,2.5317104882529727E-4,4.54255437944901E-4
2025-02-28,1.2720395728187413E-4,9.367905012293992E-5,1.529360888528593E-4
2025-03-01,7.62693985458551E-5,5.738895924871293E-5,1.5718048962292135E-4
2025-03-02,6.951732475654126E-5,5.1780894864287274E-5,8.928566239790277E-5
2025-03-03,8.288224497700117E-5,6.350303010541635E-5,9.724422125141681E-5
2025-03-04,1.779146145714148E-4,1.275899994652179E-4,2.1011914213924258E-4
2025-03-06,9.047439746250001E-5,8.119285484998808E-5,1.093263854274629E-4
2025-03-07,8.997106641458477E-5,6.707057764279841E-5,1.1210714001228696E-4
2025-03-08,1.83236262749161E-4,1.4050239406043256E-4,2.1020155691098922E-4
2025-03-09,1.5948299004533235E-4,9.649090497983264E-5,2.350488101773591E-4
2025-03-10,1.9727658201563125E-4,1.3883734209203336E-4,2.332163276153151E-4
2025-03-11,1.342273809976784E-4,1.1268089292557178E-4,1.8867582548443617E-4
2025-03-12,7.879257802124232E-5,5.665717981166733E-5,1.2449814972209007E-4
2025-03-13,6.070395846282559E-5,4.978888602058524E-5,8.220807649209972E-5
2025-03-14,2.176671696235085E-4,1.4386016118788275E-4,2.461125936060511E-4
2025-03-15,1.0947801041728761E-4,9.321294783144974E-5,1.3005584888417694E-4
2025-03-16,1.419527642713905E-4,1.1865641767359265E-4,1.7301281332055614E-4
2025-03-17,8.141981181740024E-5,6.339605897657276E-5,1.0750156070590719E-4
2025-03-18,7.412445260255188E-5,5.234204218134871E-5,9.382274583923586E-5
2025-03-19,2.131285763592914E-4,1.5793330385319168E-4,2.651158531988834E-4
2025-03-20,2.0211438202225593E-4,1.6434469580397414E-4,2.6662403979598153E-4
2025-03-21,1.5013270662183763E-4,1.242049329446091E-4,1.848892570709408E-4
2025-03-22,2.1900217319001218E-4,1.190477196358552E-4,3.2931298483195997E-4
2025-03-23,1.1431233724455288E-4,9.399898408428294E-5,1.4792775618837478E-4
